Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
'2,5-dihydroxybenzoic acid 5-sulfate';Class;Phenylsulfates;"''olive oil''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''";;;;;;;"'54473656'";"'XKAUVSKGVSQBFW-UHFFFAOYSA-N'";"'InChI=1S/C7H6O7S/c8-6-2-1-4(14-15(11,12)13)3-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)'";"'FOBI:08675'";;;;;;;;"'FOBI:08675'";;"'2,5-dihydroxybenzoic acid 5-sulfate'";
'hesperetin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tomato (whole, raw)''	''citrus fruit food product''";;;;;;;;"'CBVJYALZVWCCEC-WDXLFLMVSA-N'";"'InChI=1S/C22H22O12/c1-31-12-3-2-8(4-10(12)24)13-7-11(25)16-14(32-13)5-9(23)6-15(16)33-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,13,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t13?,17-,18-,19+,20-,22+/m0/s1'";"'FOBI:08676'";;;;;;;;"'FOBI:08676'";;"'hesperetin 5-glucuronide'";
'hesperetin 3'-sulfate';Class;'4'-O-methylated flavonoids';"''citrus fruit food product''	''tomato (whole, raw)''";;;;;;;"'131750808'";"'AXWNOFHBYPBYNO-UHFFFAOYSA-N'";"'InChI=1S/C16H14O9S/c1-23-12-3-2-8(4-14(12)25-26(20,21)22)13-7-11(19)16-10(18)5-9(17)6-15(16)24-13/h2-6,13,17-18H,7H2,1H3,(H,20,21,22)'";"'FOBI:08677'";;;;;;;;"'FOBI:08677'";;"'hesperetin 3'-sulfate'";
'hesperetin 5-sulfate';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;;;;;;;"'QRULBSSBAHHSES-ZDUSSCGKSA-N'";"'InChI=1S/C16H14O9S/c1-23-12-3-2-8(4-10(12)18)13-7-11(19)16-14(24-13)5-9(17)6-15(16)25-26(20,21)22/h2-6,13,17-18H,7H2,1H3,(H,20,21,22)/t13-/m0/s1'";"'FOBI:08678'";;;;;;;;"'FOBI:08678'";;"'hesperetin 5-sulfate'";
'3-(3-hydroxyphenyl)propionic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''vegetable food product''	''olive oil''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;;;;"'YFLHDBYZUJBQGB-DKBOKBLXSA-N'";"'InChI=1S/C15H18O9/c16-9(17)5-4-7-2-1-3-8(6-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-3,6,10-13,15,18-20H,4-5H2,(H,16,17)(H,21,22)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:08679'";;;;;;;;"'FOBI:08679'";;"'3-(3-hydroxyphenyl)propionic acid glucuronide'";
'3-(4-hydroxyphenyl)propionic acid glucuronide';Class;'Glucuronic acid derivatives';"''nut (whole or part)''	''vegetable food product''	''red wine''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;;;;;"'WALCYTHTBOWOFF-PDWCTOEPSA-N'";"'InChI=1S/C15H18O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15(22)13-11(19)10(18)12(20)14(21)24-13/h1-2,4-5,10-14,18-21H,3,6H2,(H,16,17)/t10-,11-,12+,13-,14+/m0/s1'";"'FOBI:08680'";;;;;;;;"'FOBI:08680'";;"'3-(4-hydroxyphenyl)propionic acid glucuronide'";
'3-(4-hydroxyphenyl)propionic acid sulfate';Class;Phenylsulfates;"''legume food product''	''plant fruit food product''	''vegetable food product''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''";;;;;;;"'49844036'";"'YKAVCSNFDHAGEG-UHFFFAOYSA-N'";"'InChI=1S/C9H10O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-2,4-5H,3,6H2,(H,10,11)(H,12,13,14)'";"'FOBI:08682'";;;;;;;;"'FOBI:08682'";;"'3-(4-hydroxyphenyl)propionic acid sulfate'";
'3'-methylepicatechin 4'-sulfate';Class;Catechins;"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''";;;;;;;"'71260093'";"'QGMVQGQNIUVPMC-MLGOLLRUSA-N'";"'InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-13(15)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1'";"'FOBI:08683'";;;;;;;;"'FOBI:08683'";;"'3'-methylepicatechin 4'-sulfate'";
'3'-methylepicatechin 5-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''red wine''";;;;;;;;"'ZFUHNDPCTCXKQO-MLGOLLRUSA-N'";"'InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)18)16-12(19)7-10-13(24-16)5-9(17)6-14(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1'";"'FOBI:08684'";;;;;;;;"'FOBI:08684'";;"'3'-methylepicatechin 5-sulfate'";
'3'-methylepicatechin 7-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''cacao food product''";;;;;;;;"'RIKCESGMRQZLKQ-CZUORRHYSA-N'";"'InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)17)16-13(19)7-10-12(18)5-9(6-14(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1'";"'FOBI:08685'";;;;;;;;"'FOBI:08685'";;"'3'-methylepicatechin 7-sulfate'";
'4'-methylepicatechin 3'-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''cacao food product''";;;;;;;;"'PCLCJMJFLFTHDU-MLGOLLRUSA-N'";"'InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-15(13)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1'";"'FOBI:08686'";;;;;;;;"'FOBI:08686'";;"'4'-methylepicatechin 3'-sulfate'";
'4'-methylepicatechin 5-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''	''cacao food product''";;;;;;;"'71579213'";"'JSNCQMRECHVQQQ-MLGOLLRUSA-N'";"'InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-11(13)18)16-12(19)7-10-14(24-16)5-9(17)6-15(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1'";"'FOBI:08687'";;;;;;;;"'FOBI:08687'";;"'4'-methylepicatechin 5-sulfate'";
'4'-methylepicatechin 7-sulfate';Class;Catechins;"''cacao food product''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''red wine''	''tea based beverage product''";;;;;;;;"'NCEYJABYRYYGNC-CZUORRHYSA-N'";"'InChI=1S/C16H16O9S/c1-23-14-3-2-8(4-12(14)18)16-13(19)7-10-11(17)5-9(6-15(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1'";"'FOBI:08688'";;;;;;;;"'FOBI:08688'";;"'4'-methylepicatechin 7-sulfate'";
'3-methylgallic acid 4-glucuronide';Class;'Hydrolyzable tannins';"''cacao food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''	''vegetable food product''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;;;;;;;"'XFEXVGIHNGUIFM-UHFFFAOYSA-N'";"'InChI=1S/C14H16O11/c1-23-6-3-4(12(19)20)2-5(15)10(6)24-14-9(18)7(16)8(17)11(25-14)13(21)22/h2-3,7-9,11,14-18H,1H3,(H,19,20)(H,21,22)'";"'FOBI:08689'";;;;;;;;"'FOBI:08689'";;"'3-methylgallic acid 4-glucuronide'";
'3-methylgallic acid 5-glucuronide';Class;'Hydrolyzable tannins';"''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;;;;;"'ILWDNUVZYSRINE-UHFFFAOYSA-N'";"'InChI=1S/C14H16O11/c1-23-5-2-4(12(19)20)3-6(7(5)15)24-14-10(18)8(16)9(17)11(25-14)13(21)22/h2-3,8-11,14-18H,1H3,(H,19,20)(H,21,22)'";"'FOBI:08690'";;;;;;;;"'FOBI:08690'";;"'3-methylgallic acid 5-glucuronide'";
'4-methylgallic acid 3-glucuronide';Class;'Hydrolyzable tannins';"''nut (whole or part)''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;;;;;"'OEYVJQPXEVSKDH-NJNVDNPHSA-N'";"'InChI=1S/C14H16O11/c1-23-10-5(15)2-4(12(19)20)3-6(10)24-14-9(18)7(16)8(17)11(25-14)13(21)22/h2-3,7-9,11,14-18H,1H3,(H,19,20)(H,21,22)/t7-,8?,9?,11-,14+/m0/s1'";"'FOBI:08691'";;;;;;;;"'FOBI:08691'";;"'4-methylgallic acid 3-glucuronide'";
'3-methylgallic acid 4-sulfate';Class;'Gallic acid and derivatives';"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''red wine''	''legume food product''";;;;;;;;"'QUGZPKOJDPDIDP-UHFFFAOYSA-N'";"'InChI=1S/C8H8O8S/c1-15-6-3-4(8(10)11)2-5(9)7(6)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)'";"'FOBI:08692'";;;;;;;;"'FOBI:08692'";;"'3-methylgallic acid 4-sulfate'";
'3-methylgallic acid 5-sulfate';Class;'Gallic acid and derivatives';"''legume food product''	''plant fruit food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''olive oil''	''nut (whole or part)''";;;;;;;;"'JIMIRVGENXXZSQ-UHFFFAOYSA-N'";"'InChI=1S/C8H10O8S/c1-15-5-2-4(8(10)11)3-6(7(5)9)16-17(12,13)14/h2-3,5,7,9H,1H3,(H,10,11)(H,12,13,14)'";"'FOBI:08693'";;;;;;;;"'FOBI:08693'";;"'3-methylgallic acid 5-sulfate'";
'4-methylgallic acid 3-sulfate';Class;'Gallic acid and derivatives';"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''";;;;"'9000783'";;;"'10825483'";"'LMJIEJLSDJBABY-UHFFFAOYSA-N'";"'InChI=1S/C8H8O8S/c1-15-7-5(9)2-4(8(10)11)3-6(7)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)'";"'FOBI:08694'";;;;;;;;"'FOBI:08694'";;"'4-methylgallic acid 3-sulfate'";
'1-methylpyrogallol 2-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''olive oil''	''plant fruit food product''";;;;;;;;"'WIRBFTWUCRQZDH-UHFFFAOYSA-N'";"'InChI=1S/C13H16O9/c1-20-6-4-2-3-5(14)10(6)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)'";"'FOBI:08695'";;;;;;;;"'FOBI:08695'";;"'1-methylpyrogallol 2-glucuronide'";
'1-methylpyrogallol 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''vegetable food product''	''red wine''	''coffee based beverage product''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''";;;;;;;;"'ZCXVNAUYGLECEF-UHFFFAOYSA-N'";"'InChI=1S/C13H16O9/c1-20-5-3-2-4-6(7(5)14)21-13-10(17)8(15)9(16)11(22-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)'";"'FOBI:08696'";;;;;;;;"'FOBI:08696'";;"'1-methylpyrogallol 3-glucuronide'";
'2-methylpyrogallol 1-glucuronide';Class;'Phenolic glycosides';"''olive oil''	''legume food product''	''vegetable food product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;;;;;;;"'PCYIQKIPHUBFMX-JDQAZDLZSA-N'";"'InChI=1S/C13H16O9/c1-20-10-5(14)3-2-4-6(10)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)/t7-,8-,9+,11-,13+/m0/s1'";"'FOBI:08697'";;;;;;;;"'FOBI:08697'";;"'2-methylpyrogallol 1-glucuronide'";
'1-methylpyrogallol 2-sulfate';Class;Phenylsulfates;"''olive oil''	''legume food product''	''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;;;;;;;"'DIWVSUYQBQOOTK-UHFFFAOYSA-N'";"'InChI=1S/C7H8O6S/c1-12-6-4-2-3-5(8)7(6)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)'";"'FOBI:08698'";;;;;;;;"'FOBI:08698'";;"'1-methylpyrogallol 2-sulfate'";
'1-methylpyrogallol 3-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''olive oil''	''legume food product''	''vegetable food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''coffee based beverage product''";;;;;;;;"'NTXOJWKIHIOUQN-UHFFFAOYSA-N'";"'InChI=1S/C7H8O6S/c1-12-5-3-2-4-6(7(5)8)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)'";"'FOBI:08699'";;;;;;;;"'FOBI:08699'";;"'1-methylpyrogallol 3-sulfate'";
'2-methylpyrogallol 1-sulfate';Class;Phenylsulfates;"''vegetable food product''	''Whole grain cereal products''	''olive oil''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''red wine''";;;;;;;"'122164840'";"'ARLAWMCEVZUXEY-UHFFFAOYSA-N'";"'InChI=1S/C7H8O6S/c1-12-7-5(8)3-2-4-6(7)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)'";"'FOBI:08700'";;;;;;;;"'FOBI:08700'";;"'2-methylpyrogallol 1-sulfate'";
'naringenin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;;;;;;"'91312540'";"'DFIUUCDSSKATFP-DNPGXZAYSA-N'";"'InChI=1S/C21H20O11/c22-9-5-11(23)15-12(24)7-13(31-14(15)6-9)8-1-3-10(4-2-8)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,13,16-19,21-23,25-27H,7H2,(H,28,29)/t13?,16-,17-,18+,19-,21+/m0/s1'";"'FOBI:08701'";;;;;;;;"'FOBI:08701'";;"'naringenin 4'-glucuronide'";
'naringenin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;;;;;;"'101242747'";"'ZTQGTBHHQGGBSV-ATVZYYHQSA-N'";"'InChI=1S/C21H20O11/c22-9-3-1-8(2-4-9)12-7-11(24)15-13(30-12)5-10(23)6-14(15)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,12,16-19,21-23,25-27H,7H2,(H,28,29)/t12?,16-,17-,18+,19-,21+/m0/s1'";"'FOBI:08702'";;;;;;;;"'FOBI:08702'";;"'naringenin 5-glucuronide'";
'naringenin 4'-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;;;;;;"'11078674'";"'LQAWJBRSYCPTLK-ZDUSSCGKSA-N'";"'InChI=1S/C15H12O8S/c16-9-5-11(17)15-12(18)7-13(22-14(15)6-9)8-1-3-10(4-2-8)23-24(19,20)21/h1-6,13,16-17H,7H2,(H,19,20,21)/t13-/m0/s1'";"'FOBI:08703'";;;;;;;;"'FOBI:08703'";;"'naringenin 4'-sulfate'";
'naringenin 5-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;;;;;;;"'TUKMNFQGFNNJQM-UHFFFAOYSA-O'";"'InChI=1S/C15H12O8S/c16-9-3-1-8(2-4-9)12-7-11(18)15-13(22-12)5-10(17)6-14(15)23-24(19,20)21/h1-6,12,16-17H,7H2,(H,19,20,21)/p+1'";"'FOBI:08704'";;;;;;;;"'FOBI:08704'";;"'naringenin 5-sulfate'";
'naringenin 7-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;;;;;;;"'LCXKYLMSILXZFG-ZDUSSCGKSA-N'";"'InChI=1S/C15H12O8S/c16-9-3-1-8(2-4-9)13-7-12(18)15-11(17)5-10(6-14(15)22-13)23-24(19,20)21/h1-6,13,16-17H,7H2,(H,19,20,21)/t13-/m0/s1'";"'FOBI:08705'";;;;;;;;"'FOBI:08705'";;"'naringenin 7-sulfate'";
'urolithin a 3-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;"'102579638'";"'KXBXNRJGUDTJQS-KSPMYQCISA-N'";"'InChI=1S/C19H16O10/c20-7-1-3-9-10-4-2-8(6-12(10)28-18(26)11(9)5-7)27-19-15(23)13(21)14(22)16(29-19)17(24)25/h1-6,13-16,19-23H,(H,24,25)/t13-,14-,15+,16-,19+/m0/s1'";"'FOBI:08706'";;;;;;;;"'FOBI:08706'";;"'urolithin a 3-glucuronide'";
'urolithin a 8-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;"'131708293'";"'QMPHAAMUHRNZSL-KSPMYQCISA-N'";"'InChI=1S/C19H16O10/c20-7-1-3-10-9-4-2-8(6-11(9)18(26)28-12(10)5-7)27-19-15(23)13(21)14(22)16(29-19)17(24)25/h1-6,13-16,19-23H,(H,24,25)/t13-,14-,15+,16-,19+/m0/s1'";"'FOBI:08707'";;;;;;;;"'FOBI:08707'";;"'urolithin a 8-glucuronide'";
'urolithin a 3-sulfate';Class;'Coumarins and derivatives';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;;"'WMPNAWQWWZFJTQ-UHFFFAOYSA-N'";"'InChI=1S/C13H8O7S/c14-7-1-3-9-10-4-2-8(20-21(16,17)18)6-12(10)19-13(15)11(9)5-7/h1-6,14H,(H,16,17,18)'";"'FOBI:08708'";;;;;;;;"'FOBI:08708'";;"'urolithin a 3-sulfate'";
'urolithin a 8-sulfate';Class;'Coumarins and derivatives';"''red wine''	''berry (whole, raw)''	''nut (whole or part)''";;;;;;;;"'WMPNAWQWWZFJTQ-UHFFFAOYSA-N'";"'InChI=1S/C13H8O7S/c14-7-1-3-9-10-4-2-8(20-21(16,17)18)6-12(10)19-13(15)11(9)5-7/h1-6,14H,(H,16,17,18)'";"'FOBI:08709'";;;;;;;;"'FOBI:08709'";;"'urolithin a 8-sulfate'";
'5-(4’-hydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';"''berry (whole, raw)''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''red wine''";;;;;;;;"'FTDMUGVYLIJMHW-JLBGVFTDSA-N'";"'InChI=1S/C17H20O9/c18-11-6-5-10(24-11)7-8-1-3-9(4-2-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-4,10,12-15,17,19-21H,5-7H2,(H,22,23)/t10?,12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08710'";;;;;;;;"'FOBI:08710'";;"'5-(4’-hydroxyphenyl)-γ-valerolactone 4'-glucuronide'";
'5-(4’-hydroxyphenyl)-γ-valerolactone';Class;'1-hydroxy-2-unsubstituted benzenoids';"''red wine''	''berry (whole, raw)''	''apple (whole)''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''";;;;;;;;"'OXASBXALVLRTKO-UHFFFAOYSA-N'";"'InChI=1S/C11H12O3/c12-9-3-1-8(2-4-9)7-10-5-6-11(13)14-10/h1-4,10,12H,5-7H2'";"'FOBI:08711'";;;;;;;;"'FOBI:08711'";;"'5-(4’-hydroxyphenyl)-γ-valerolactone'";
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid';Class;'Medium-chain hydroxy acids and derivatives';"''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;;;;;;;"'QKRQBODPNMXFLS-QMMMGPOBSA-N'";"'InChI=1S/C11H14O5/c12-8(1-2-11(15)16)3-7-4-9(13)6-10(14)5-7/h4-6,8,12-14H,1-3H2,(H,15,16)/t8-/m0/s1'";"'FOBI:08803'";;;;;;;;"'FOBI:08803'";;"'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid'";
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid glucuronide';Class;Saccharolipids;"''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''";;;;;;;;"'WLNKHXJGCCKROC-ZWLNVBLQSA-N'";"'InChI=1S/C17H22O11/c18-8(1-2-11(20)21)3-7-4-9(19)6-10(5-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h4-6,8,12-15,17-19,22-24H,1-3H2,(H,20,21)(H,25,26)/t8?,12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08804'";;;;;;;;"'FOBI:08804'";;"'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid glucuronide'";
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid sulfate';Class;Resorcinols;"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''tea based beverage product''	''cacao food product''";;;;;;;;"'KZIXDBSFYKKBMP-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(1-2-11(14)15)3-7-4-9(13)6-10(5-7)19-20(16,17)18/h4-6,8,12-13H,1-3H2,(H,14,15)(H,16,17,18)'";"'FOBI:08805'";;;;;;;;"'FOBI:08805'";;"'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid sulfate'";
'3,4-dihydroxyphenylvaleric acid';Class;Catechols;"''cacao food product''	''tea based beverage product''	''apple (whole)''	''berry (whole, raw)''	''nut (whole or part)''	''red wine''";;;;;;;"'49831816'";"'KTDWBJGUMIZRHU-UHFFFAOYSA-N'";"'InChI=1S/C11H14O4/c12-9-6-5-8(7-10(9)13)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)'";"'FOBI:08806'";;;;;;;;"'FOBI:08806'";;"'3,4-dihydroxyphenylvaleric acid'";
'3,4-dihydroxyphenylvaleric acid 3 glucuronide';Class;Saccharolipids;"''tea based beverage product''	''cacao food product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;;"'PFXCVFMGZFVRNQ-IASGZQPQSA-N'";"'InChI=1S/C17H22O10/c18-9-6-5-8(3-1-2-4-11(19)20)7-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08807'";;;;;;;;"'FOBI:08807'";;"'3,4-dihydroxyphenylvaleric acid 3 glucuronide'";
'3,4-dihydroxyphenylvaleric acid 3 sulfate';Class;Catechols;"''tea based beverage product''	''cacao food product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;;"'OUPGXCOAIUBOQD-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-6-5-8(3-1-2-4-11(13)14)7-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08808'";;;;;;;;"'FOBI:08808'";;"'3,4-dihydroxyphenylvaleric acid 3 sulfate'";
'3,4-dihydroxyphenylvaleric acid 4 glucuronide';Class;Saccharolipids;"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;;"'UGIYSEJJABCPSW-NQKOESPWSA-N'";"'InChI=1S/C17H22O10/c18-9-7-8(3-1-2-4-11(19)20)5-6-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m1/s1'";"'FOBI:08809'";;;;;;;;"'FOBI:08809'";;"'3,4-dihydroxyphenylvaleric acid 4 glucuronide'";
'3,4-dihydroxyphenylvaleric acid 4 sulfate';Class;Catechols;"''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''red wine''";;;;;;;;"'CABZBRSEXWBGOQ-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-7-8(3-1-2-4-11(13)14)5-6-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08810'";;;;;;;;"'FOBI:08810'";;"'3,4-dihydroxyphenylvaleric acid 4 sulfate'";
'3,5-dihydroxyphenylvaleric acid';Class;Resorcinols;"''Whole grain cereal products''";;;;;;;;"'QHXNJIMVPAFCPR-UHFFFAOYSA-N'";"'InChI=1S/C11H14O4/c12-9-5-8(6-10(13)7-9)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)'";"'FOBI:08811'";;;;;;;;"'FOBI:08811'";;"'3,5-dihydroxyphenylvaleric acid'";
'3,5-dihydroxyphenylvaleric acid glucuronide';Class;Saccharolipids;"''Whole grain cereal products''";;;;;;;;"'RLPWWOIWKYLCFU-IASGZQPQSA-N'";"'InChI=1S/C17H22O10/c18-9-5-8(3-1-2-4-11(19)20)6-10(7-9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08812'";;;;;;;;"'FOBI:08812'";;"'3,5-dihydroxyphenylvaleric acid glucuronide'";
'3,5-dihydroxyphenylvaleric acid sulfate';Class;Resorcinols;"''Whole grain cereal products''";;;;;;;;"'GXGQOCNOANVHKV-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-5-8(3-1-2-4-11(13)14)6-10(7-9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08813'";;;;;;;;"'FOBI:08813'";;"'3,5-dihydroxyphenylvaleric acid sulfate'";
